item,energy,fat,saturated_fat,carbs,sugar,fibre,protein,salt,cost
Almonds,5.87,0.49,0.037,0.095,0.039,0.12,0.21,0,0.01
Bananas,1.03,0.003,0.001,0.232,0.209,0.011,0.012,0.0001,0.00076
"Blueberries, frozen",0.448,0.002,0,0.091,0.091,0.015,0.009,0,0.005
Cashews,5.8169,0.4385,0.0778,0.2689,0.0591,0.033,0.1822,0.0003,0.011
Corn flakes,3.8639,0.0114,0.003,0.8515,0.0661,0.0253,0.0761,0.0068,0.0019333333
Granola,4.298,0.134,0.049,0.641,0.189,0.068,0.098,0.0003,0.002
"Greek yogurt, 0% fat",0.57,0,0,0.04,0.04,0,0.103,0.001,0.0055
"Greek yogurt, full fat",0.96,0.05,0.036,0.038,0.038,0,0.09,0.001,0.0055
Honey,3.2611,0.0001,0.0001,0.81,0.81,0.0001,0.005,0.001,0.0052941176
"Milk, semi-skimmed",0.498,0.018,0.011,0.048,0.048,0,0.036,0.0011,0.0007079646
"Milk, whole",0.64,0.036,0.023,0.047,0.047,0,0.032,0.0014,0.0007079646
Raisins,2.932,0.004,0.0019,0.693,0.693,0.02,0.021,0.0015,0.0032
Wheat biscuits,3.58,0.02,0.006,0.68,0.044,0.1,0.12,0.0028,0.0028508772
